Range,Round,Beat,Place,Ha.,Place Year
Vadali,Vadali SF,Vadali SF,Thuravas Kampa AFPBP 21-22,5,
Vadali,Bavsar SF,Veda SF,Vasan G-2 20-21,4,
Vadali,Bhavangadh SF,Bhavangadh SF,Bhavangadh RDFL 20-21,3,
Vadali,Vadali SF,Vadali SF,Vivav AFPBP 21-22,1,
Vadali,Bavsar SF,Veda SF,Badol FF 20-21,5,
Vadali,Bhavangadh SF,Bhavangadh SF,Bhandval VK 20-21,2,
Vadali,Vadali SF,Vadali SF,Thuravas Kampa AFHDP1 21-22,1,
Vadali,Bavsar SF,Veda SF,Vasan FF 20-21,5,
Vadali,Bhavangadh SF,Bhavangadh SF,Umiyanagar VK 20-21,4,
Vadali,Vadali SF,Vadali SF,Vadali NBM 21-22,4,
Vadali,Vadali SF,Vadali SF,Vadali-PGVP-25-26,1,
Vadali,Bhavangadh SF,Bhavangadh SF,Bhavangadh-PGVP-25-26,1,
Vadali,Bhavangadh SF,Bhavangadh SF,Bhandval-PGVP-25-26,1,
Vadali,Bavsar SF,Bavsar SF,Dobhada-PGVP-25-26,1,
Vadali,Vadali SF,,,,
Talod,Harsol SF,Harsol SF,Ahmadpura G-1 10 25-26,3,
Talod,Ranasan SF,Ranasan SF,Ranasan E 10-25-26,1,
Talod,Talod SF,Talod SF,Rampura (Talod ),2,
Talod,Harsol SF,Harsol SF,Ahmadpura G-2 10 25-26,6,
Talod,Ranasan SF,Ranasan SF,Nanachekhla E SCP-25-26,1,
Talod,Talod SF,Talod SF,Talod FF-24-25,10,
Talod,Harsol SF,Harsol SF,Rozad G-1-24-25-CFP,3,
Talod,Ranasan SF,Ranasan SF,Modhuka G-2 10 24-25,4,
Talod,Talod SF,Talod SF,Talod H.G -24-25-CFP,1,
Talod,Harsol SF,Harsol SF,Dadarda FF-24-25-CFP,10,
Talod,Ranasan SF,Ranasan SF,GundiyaSmashsan E-SCP 24-25,1,
Talod,Talod SF,Talod SF,Krusa. kendra thi Rampura S-10 23-24,3,
Talod,Harsol SF,Harsol SF,Motesarikanpa FF-24-25,5,
Talod,Ranasan SF,Ranasan SF,PunsariHighSchool H.G 24-25,1,
Talod,Talod SF,Talod SF,Sai MandirVakt Vankav 23-24,1,
Talod,Harsol SF,Harsol SF,Rojhad FF 24-25,3,
Talod,Ranasan SF,Ranasan SF,Lavari FF 24-25,5,
Talod,Talod SF,Talod SF,Om Shanti UjeDiya H.G-23-24,2,
Talod,Harsol SF,Harsol SF,Harsol FF-24-25,2,
Talod,Ranasan SF,Ranasan SF,Nanachekhla FF 24-25,5,
Talod,Talod SF,Talod SF,Rampura Talod FF -23-24,7,
Talod,Harsol SF,Harsol SF,Tajpur RDFLSCP 24-25,4,
Talod,Ranasan SF,Ranasan SF,Gundiya G-2 -23-24,4,
Talod,Talod SF,Talod SF,Poyda toVavadiChokadi- S-22-23,3,
Talod,Harsol SF,Harsol SF,Harsol RDFLSCP 24-25,3,
Talod,Ranasan SF,Ranasan SF,Punsari Pri.School E-scp23-24,1,
Talod,Talod SF,Talod SF,Mahekal- G-2-10- 22-23,12,
Talod,Harsol SF,Harsol SF,Rozad NBM-CFP-24-25,5,
Talod,Ranasan SF,Ranasan SF,Kabodara FF-23-24,5,
Talod,Talod SF,Talod SF,Sheth J.B.Upadhyay Bahera Munga Shala - H.G-22-23,2,
Talod,Harsol SF,Harsol SF,Rozad G-1 -CFP-23-24,2,
Talod,Ranasan SF,Ranasan SF,Kabodari FF 23-24,2,
Talod,Talod SF,Talod SF,Chandpur FF-22-23,10,
Talod,Harsol SF,Harsol SF,Sultanpur FF-23-24,5,
Talod,Ranasan SF,Ranasan SF,Antroli Punjaji FF-23-24,1,
Talod,Talod SF,Talod SF,Pani Purvatha H.G 21-22,2,
Talod,Harsol SF,Harsol SF,Motesarikampa FF-23-24,5,
Talod,Ranasan SF,Ranasan SF,Lavari FF-22-23,4,
Talod,Talod SF,Talod SF,Doltabad E-SCP 21-22,1,
Talod,Harsol SF,Harsol SF,Boriya Jagapur RDFLSCP 23-24,2,
Talod,Ranasan SF,Ranasan SF,Mtachekhla F.F.-22-23,1,
Talod,Harsol SF,Harsol SF,Padusan RDFLSCP23-24,5,
Talod,Ranasan SF,Ranasan SF,Gundiya G-1 10 22-23,6,
Talod,Talod SF,Talod SF,Rampura-FF- 21-22,10,
Talod,Harsol SF,Harsol SF,AniyodSmashanESCP22-23,1,
Talod,Ranasan SF,Ranasan SF,Krushnapura Kampa -G2 -21-22,4,
Talod,Talod SF,Talod SF,Talod-F.F.- 2020-21,5,
Talod,Talod SF,Talod SF,Anjana G-2 -20-21,4,
Talod,Harsol SF,Harsol SF,Rozad FF 22-23,7,
Talod,Ranasan SF,Ranasan SF,Krushnapurakanpa-FF-21-22,2,
Talod,Talod SF,Talod SF,Valiyampura-FF- 20-21,5,
Talod,Harsol SF,Harsol SF,Harsol FF-22-23,3,
Talod,Ranasan SF,Ranasan SF,Bhimpura-FF 21-22,5,
Talod,Talod SF,Talod SF,Kherol-FF 20-21,5,
Talod,Harsol SF,Harsol SF,Harsol RDFLSCP 22-23-,5,
Talod,Ranasan SF,Ranasan SF,Bhimpura-RDFL -21-22,2,
Talod,Harsol SF,Harsol SF,Aniyod RDFLSCP-22-23,2,
Talod,Ranasan SF,Ranasan SF,krushnapurakanpa FF20-21,7,
Talod,Harsol SF,Harsol SF,Harsolm.tyard toBile.kampa S-21-22,2,
Talod,Ranasan SF,Ranasan SF,Modhuka -RDFLSCP 20-21,5,
Talod,Harsol SF,Harsol SF,Harsol F.F.-21-22,7.5,
Talod,Harsol SF,Harsol SF,Aniod F.F.-21-22,5.5,
Talod,Harsol SF,Harsol SF,Aniod&Sagpur RDFL21-22,4,
Talod,Harsol SF,Harsol SF,Motesari- G-1 10 20-21,4,
Talod,Harsol SF,Harsol SF,Harol F F 20-21,8,
Talod,Harsol SF,Harsol SF,Aniod F F20-21,7,
Talod,Harsol SF,Harsol SF,HARSOL RDFLSCP 20-21,5,
Talod,Harsol SF,-,,,
Talod,Ranasan SF,-,,,
Talod,Talod SF,-,,,
Talod,Ranasan SF,Ranasan SF,,1,2025-26
Talod,Talod SF,Talod SF,,2,2024-25
Talod,Talod SF,Talod SF,Pani purvatha Mahiyal-Hari.Gam-25-26,2,
Talod,Ranasan SF,Ranasan SF,Gorathiya Mahadev mandir-Hari.Gam-25-26,1,
Talod,Harsol SF,Harsol SF,Harsol Dargah-Hari.Gam-25-26,1,
Talod,Ranasan SF,Ranasan SF,Navalpur- vankutir-2025-26,,
Talod,Ranasan SF,Ranasan SF,Balaji green Park Society- Panch.Gra.Va.-2024-25,1,
Talod,Ranasan SF,Ranasan SF,Navagam- Panch.Gra.Va.-2024-25,1,
Talod,Harsol SF,Harsol SF,Badodara Vahanvati mata mandir-Panch.Gra.Va.-2024-25,1,
Talod,Harsol SF,Harsol SF,Javanpur- Panch.Gra.Va.-2024-25,1,
Talod,Talod SF,Talod SF,Chandpur Hingalaj Mata mandir- Panch.Gra.Va.-2024-25,1,
Talod,Talod SF,Talod SF,Chandpur Hingalaj Mata mandir Pavi.Upvan-2024-25,1,
Talod,Talod SF,Talod SF,"Vaktapur Panch.Gra.Va 2025-26, Ha.1.00",1,
Talod,Talod SF,Talod SF,"Mahiyal Patiya thi T.R.Chokadi (Gokuldham Soc. Panch.Gra.Va 2025-26, Ha.2.00",2,
Talod,Harsol SF,Harsol SF,"Ahmadpura Panch.Gra.Va 2025-26, Ha.1.00",1,
Talod,Ranasan SF,Ranasan SF,"Shiv Vila Society Ranasan Panch.Gra.Va 2025-26, Ha.1.00",1,
Talod,Ranasan SF,Ranasan SF,"Punsari, Panch.Gra.Va 2025-26, Ha.2.00",2,
Talod,Ranasan SF,Ranasan SF,"Navagam Panch.Gra.Va 2025-26, Ha.1.00",1,
Talod,Talod SF,Talod SF,,1,2024-25
Talod,Harsol SF,Harsol SF,Harsol Dargah G-1 CFP 2026-27,3,2026-27
Talod,Talod SF,Talod SF,Amjanta Society E-Envi CFP 2026-27,1,2026-27
Talod,Ranasan SF,Ranasan SF,Lavari E-Envi. CFP 2026-27,1,2026-27
Talod,Ranasan SF,Ranasan SF,"Ratanpur E-Envi SCP, 2026-27",1,2026-27
Talod,Harsol SF,Harsol SF,"Harsol Dargh E-Envi SCP, 2026-27",1,2026-27
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-RDFL-20-21,1.5,
Bayad,Ambaliyara SF,Tenpur SF,Ganeshpura-RDFL-20-21,3,
Bayad,Bayad SF,Bayad SF,Varena-FF-20-21,4,
Bayad,Bayad SF,Bibipura SF,Bhukhel-RDFL-20-21,0.5,
Bayad,Gabat SF,Gabat SF,Pruthvipura-G-2-20-21,5,
Bayad,Gabat SF,Prantwell SF,Prantvel-FF-22-23,8,
Bayad,Sathamba SF,Amodara,Gedalji Muvada-FF-20-21,10,
Bayad,Sathamba SF,Sathamba SF,Laxmipura-FF-21-22,12,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-VK-SCP-20-21,1,
Bayad,Ambaliyara SF,Tenpur SF,Bhudasan-RDFL-20-21,1,
Bayad,Bayad SF,Bayad SF,Madhavkampa-Agro-400-20-21,1,
Bayad,Bayad SF,Bibipura SF,Bayad-Agro-100-20-21,2,
Bayad,Gabat SF,Gabat SF,Simlaj-G-2-20-21,5,
Bayad,Gabat SF,Prantwell SF,Gotapur-NBM-22-23,5,
Bayad,Sathamba SF,Amodara,Demai-RDFL-20-21,1,
Bayad,Sathamba SF,Sathamba SF,Savela-Agro-100-21-22,6,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-NBM-SCP-20-21,2,
Bayad,Ambaliyara SF,Tenpur SF,Vajepura Kampa-Agro-400-20-21,1,
Bayad,Bayad SF,Bayad SF,Bayad-Agro-1200-20-21,2,
Bayad,Bayad SF,Bibipura SF,Bhukhel-Agro-1000-20-21,1,
Bayad,Gabat SF,Gabat SF,Simlaj-FF-20-21,6,
Bayad,Gabat SF,Prantwell SF,Prantvel-NBM-22-23,10,
Bayad,Sathamba SF,Amodara,Deroli-RDFL-20-21,1,
Bayad,Sathamba SF,Sathamba SF,Savela-Agro-400-21-22,8,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-RDFL-21-22,1,
Bayad,Ambaliyara SF,Tenpur SF,Vajepura Kampa-VK-20-21,1,
Bayad,Bayad SF,Bayad SF,Sundarpura-VK-20-21,4,
Bayad,Bayad SF,Bibipura SF,Bhukhel-VK-20-21,4,
Bayad,Gabat SF,Gabat SF,Nava Otha-RDFL-20-21,1,
Bayad,Gabat SF,Prantwell SF,Prantvel-FF-23-24,12,
Bayad,Sathamba SF,Amodara,Borol-Agro-400-20-21,1,
Bayad,Sathamba SF,Sathamba SF,Talod Gauchar-E-22-23,1,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-VK-SCP-21-22,2,
Bayad,Ambaliyara SF,Tenpur SF,Ghodnal-VK-20-21,2,
Bayad,Bayad SF,Bayad SF,Varena-VK-20-21,2,
Bayad,Bayad SF,Bibipura SF,Dehgamada-VK-20-21,2,
Bayad,Gabat SF,Gabat SF,Kojankampa-Agro-100-20-21,8,
Bayad,Gabat SF,Prantwell SF,Prantvel-FF-24-25,4,
Bayad,Sathamba SF,Amodara,Deroli-Agro-400-20-21,1,
Bayad,Sathamba SF,Sathamba SF,Hathipura-FF-22-23,8,
Bayad,Ambaliyara SF,Ambaliyara SF,Jitpur To Ambaliyara-S-22-23,2,
Bayad,Ambaliyara SF,Tenpur SF,Nava Untarada-RDFL-23-24,2,
Bayad,Bayad SF,Bayad SF,Bormath-G-2-21-22,4,
Bayad,Bayad SF,Bibipura SF,Chamarpur-VK-20-21,2,
Bayad,Gabat SF,Gabat SF,Kojankampa-Agro-400-20-21,3,
Bayad,Gabat SF,Prantwell SF,Prantvel-NBM-24-25,5,
Bayad,Sathamba SF,Amodara,Deroli-Agro SCP-100-20-21,1,
Bayad,Sathamba SF,Sathamba SF,Savela-FF-22-23,4,
Bayad,Ambaliyara SF,Ambaliyara SF,Amiyapur-RDFL-22-23,1,
Bayad,Ambaliyara SF,Tenpur SF,Bhudasan-VK-23-24,1,
Bayad,Bayad SF,Bayad SF,Sundarpura-FF-21-22,14,
Bayad,Bayad SF,Bibipura SF,Bhukhel-NBM-SCP-20-21,2,
Bayad,Gabat SF,Gabat SF,Radodara-Agro-400-20-21,1,
Bayad,Sathamba SF,Amodara,Chhabhau-VK-20-21,2,
Bayad,Sathamba SF,Sathamba SF,Sathamba-RDFL-22-23,1,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-RDFL-22-23,2,
Bayad,Ambaliyara SF,Tenpur SF,Tenapur-RDFL-24-25,1.5,
Bayad,Bayad SF,Bayad SF,Madhavkampa-FF-21-22,4,
Bayad,Bayad SF,Bibipura SF,Vatrak Sarkari Collage-HG-21-22,1,
Bayad,Gabat SF,Gabat SF,Ambagam-Agro-400-20-21,1,
Bayad,Sathamba SF,Amodara,Borol-VK-SCP-20-21,2,
Bayad,Sathamba SF,Sathamba SF,Mathurkaka kampa-VK-22-23,5,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-VK-SCP-22-23,1,
Bayad,Ambaliyara SF,Tenpur SF,Vankaneda-Agro-400-24-25,10,
Bayad,Bayad SF,Bayad SF,Dakhneswar-RDFL-21-22,1,
Bayad,Bayad SF,Bibipura SF,Bhukhel-VK-SCP-20-21,2,
Bayad,Gabat SF,Gabat SF,Netrodoya-Agro-400-20-21,1,
Bayad,Sathamba SF,Amodara,Deroli-NBM-SCP-20-21,2,
Bayad,Sathamba SF,Sathamba SF,Pagiyana Muvada-VK-22-23,1,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-NBM-23-24,10,
Bayad,Ambaliyara SF,Tenpur SF,Bhudasan-Agro-400-24-25,2,
Bayad,Bayad SF,Bayad SF,Dakhneswar-VK-SCP-21-22,1,
Bayad,Bayad SF,Bibipura SF,Bhukhel-Agro-100-21-22,1,
Bayad,Gabat SF,Gabat SF,Vasadara-Agro-1000-20-21,2,
Bayad,Sathamba SF,Amodara,Chhabhau-RDFL-21-22,1,
Bayad,Sathamba SF,Sathamba SF,Dolpur-VK-22-23,5,
Bayad,Ambaliyara SF,Ambaliyara SF,Jantral kampa-NBM-23-24,4,
Bayad,Ambaliyara SF,Tenpur SF,Nava Untrada-Agro-400-24-25,5,
Bayad,Bayad SF,Bayad SF,Varena-Agro-100-21-22,1,
Bayad,Bayad SF,Bibipura SF,Bhukhel-Agro-400-21-22,1,
Bayad,Gabat SF,Gabat SF,Kojankampa-Agro-1200-20-21,1,
Bayad,Sathamba SF,Amodara,Borol-VK-SCP-22-23,1,
Bayad,Sathamba SF,Sathamba SF,Dolpur-VK-SCP-22-23,2,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-VK-SCP-23-24,3,
Bayad,Ambaliyara SF,Tenpur SF,Vankaneda-NBM-24-25,12.5,
Bayad,Bayad SF,Bayad SF,Dakhneswar-Agro-100-21-22,3,
Bayad,Bayad SF,Bibipura SF,Vatrak-VK-22-23,1,
Bayad,Gabat SF,Gabat SF,Hematral-VK-20-21,2,
Bayad,Sathamba SF,Amodara,Borol-VK-23-24,4,
Bayad,Sathamba SF,Sathamba SF,Hathipura-FF-23-24,9,
Bayad,Ambaliyara SF,Ambaliyara SF,Dabha To Jitpur-S-24-25,1.5,
Bayad,Ambaliyara SF,Tenpur SF,Ganeshpura-NBM-SCP-24-25,6,
Bayad,Bayad SF,Bayad SF,Bayad-Agro-400-21-22,2,
Bayad,Bayad SF,Bibipura SF,Alva Kampa-VK-22-23,1,
Bayad,Gabat SF,Gabat SF,Nava Otha-VK-SCP-20-21,2,
Bayad,Sathamba SF,Amodara,Demai-FF-24-25,2,
Bayad,Sathamba SF,Sathamba SF,Patelna Muvada-FF-23-24,9,
Bayad,Ambaliyara SF,Ambaliyara SF,Mathasuliya-FF-24-25,4,
Bayad,Ambaliyara SF,Tenpur SF,Untarada-Panchratn-24-25,1,
Bayad,Bayad SF,Bayad SF,Amargadh-Agro1200-21-22,1,
Bayad,Bayad SF,Bibipura SF,Bhukhel-VK-SCP-22-23,1,
Bayad,Gabat SF,Gabat SF,Dharamadi vanta-FF-21-22,5,
Bayad,Sathamba SF,Amodara,Chhabhau-RDFL-24-25,1.5,
Bayad,Sathamba SF,Sathamba SF,Patelna Muvada-RDFL-23-24,2,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-Agro-400-24-25,7,
Bayad,Bayad SF,Bayad SF,Choila-FF-22-23,3,
Bayad,Bayad SF,Bibipura SF,Bhukhel-RDFL-23-24,1,
Bayad,Gabat SF,Gabat SF,Sarsoli-RDFL-21-22,2,
Bayad,Sathamba SF,Amodara,Borol-Agro-1000-24-25,3,
Bayad,Sathamba SF,Sathamba SF,Hathipura-VK-23-24,4,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-NBM-24-25,1.5,
Bayad,Bayad SF,Bayad SF,Bayad-RDFL-22-23,2,
Bayad,Bayad SF,Bibipura SF,Bibipura-RDFL-23-24,1,
Bayad,Gabat SF,Gabat SF,Dharamadi vanta-VK-21-22,10,
Bayad,Sathamba SF,Amodara,Chhabhau-NBM-24-25,6,
Bayad,Sathamba SF,Sathamba SF,Dolpur-VK-23-24,3,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliyara-DCP-SCP-25-26,,
Bayad,Bayad SF,Bayad SF,Dakhneswar-NBM-SCP-22-23,1,
Bayad,Bayad SF,Bibipura SF,Bhukhel-NBM-SCP-23-24,4,
Bayad,Gabat SF,Gabat SF,Kojankampa-Agro-1000-21-22,4,
Bayad,Sathamba SF,Amodara,Demai-DCP-25-26,,
Bayad,Sathamba SF,Sathamba SF,Takhatpura-VK-23-24,1,
Bayad,Ambaliyara SF,Ambaliyara SF,Ambaliya SHG GROUP -15X25-25-26,,
Bayad,Bayad SF,Bayad SF,Dakhneswar-VK-SCP-22-23,1,
Bayad,Bayad SF,Bibipura SF,Vantada-FF-24-25,2,
Bayad,Gabat SF,Gabat SF,Kojankampa-Agro-1200-21-22,1,
Bayad,Sathamba SF,Amodara,Chhabhu-DCP-25-26,,
Bayad,Sathamba SF,Sathamba SF,Talod Primary School-HG-24-25,2,
Bayad,Bayad SF,Bayad SF,Dabha To Chhapariya-S-23-24,2,
Bayad,Bayad SF,Bibipura SF,Alva-FF-24-25,1.5,
Bayad,Gabat SF,Gabat SF,Sarsoli-G-1-22-23,4,
Bayad,Sathamba SF,Sathamba SF,Hathipura-FF-24-25,6.5,
Bayad,Bayad SF,Bayad SF,Ramos-G-2-23-24,4,
Bayad,Bayad SF,Bibipura SF,Alva Kampa-Agro-400-24-25,26,
Bayad,Gabat SF,Gabat SF,Dharamadi vanta-FF-22-23,5,
Bayad,Sathamba SF,Sathamba SF,Takhatpura-FF-24-25,1,
Bayad,Bayad SF,Bayad SF,Kotada-RDFL-23-24,1,
Bayad,Bayad SF,Bibipura SF,Alva Kampa-Agro-1000-24-25,4,
Bayad,Gabat SF,Gabat SF,Kojan-FF-22-23,2,
Bayad,Sathamba SF,Sathamba SF,Ajabpura-Agro-100-24-25,5,
Bayad,Bayad SF,Bayad SF,Dakhneswar-RDFL-23-24,1,
Bayad,Bayad SF,Bibipura SF,Dehgamada-G-2-25-26,2,
Bayad,Gabat SF,Gabat SF,Ambagam-FL-22-23,2,
Bayad,Sathamba SF,Sathamba SF,Dolpur-Agro-100-24-25,2,
Bayad,Bayad SF,Bayad SF,Bayad-NBM-23-24,1,
Bayad,Bayad SF,Bibipura SF,Chamarpur-DCP-25-26,,
Bayad,Gabat SF,Gabat SF,Gabat-RDFL-22-23,1,
Bayad,Sathamba SF,Sathamba SF,Hathipura-Agro-100-24-25,6,
Bayad,Bayad SF,Bayad SF,Bayad-VK-SCP-23-24,2,
Bayad,Gabat SF,Gabat SF,Kojankampa-VK-22-23,1,
Bayad,Sathamba SF,Sathamba SF,Savela-Agro-100-24-25,20,
Bayad,Bayad SF,Bayad SF,Bayad To Chhapariya-S-24-25,1.5,
Bayad,Gabat SF,Gabat SF,Vasadara-G-1-23-24,5,
Bayad,Sathamba SF,Sathamba SF,Talod-Agro-100-24-25,3,
Bayad,Bayad SF,Bayad SF,Ranechi-G-2-24-25,4,
Bayad,Gabat SF,Gabat SF,Sarsoli-E-23-24,1,
Bayad,Sathamba SF,Sathamba SF,Mahadevpura-Agro-100-24-25,7,
Bayad,Bayad SF,Bayad SF,Madhava Kampa-E-24-25,1,
Bayad,Gabat SF,Gabat SF,Gabat-RDFL-23-24,1,
Bayad,Sathamba SF,Sathamba SF,Pagiyana Muvada-Agro-100-24-25,6,
Bayad,Bayad SF,Bayad SF,Dakhneswar-FF-24-25,2,
Bayad,Gabat SF,Gabat SF,Nava Odha-RDFL-23-24,1,
Bayad,Sathamba SF,Sathamba SF,Kalajina Muvada-Agro-100-24-25,1,
Bayad,Bayad SF,Bayad SF,Chhapariya-FF-24-25,5.5,
Bayad,Gabat SF,Gabat SF,Jitpur Ramsi-VK-23-24,2,
Bayad,Sathamba SF,Sathamba SF,Pagiyana Muvada-Agro-400-24-25,3,
Bayad,Bayad SF,Bayad SF,Bayad-FF-24-25,1.5,
Bayad,Gabat SF,Gabat SF,Pipodara-G-1-24-25,5,
Bayad,Sathamba SF,Sathamba SF,Hathipura-Agro-1000-24-25,2,
Bayad,Bayad SF,Bayad SF,Dakhneswar-RDFL-24-25,1,
Bayad,Gabat SF,Gabat SF,Dharamadi vanta-FF-24-25,6,
Bayad,Sathamba SF,Sathamba SF,Kalajina Muvada-Agro-1000-24-25,2,
Bayad,Bayad SF,Bayad SF,Dabha-RDFL-24-25,1,
Bayad,Gabat SF,Gabat SF,Dharamadi vanta-Agro-400-24-25,12,
Bayad,Sathamba SF,Sathamba SF,Savela-Agro-1000-24-25,3,
Bayad,Bayad SF,Bayad SF,Dabha-Agro-100-24-25,4,
Bayad,Gabat SF,Gabat SF,Jitpur Ramsi-Agro-1000-24-25,1,
Bayad,Sathamba SF,Sathamba SF,Hathipura-Agro-1200-24-25,15,
Bayad,Bayad SF,Bayad SF,Dabha-Agro-400-24-25,3,
Bayad,Gabat SF,Gabat SF,Pipodara-NBM-24-25,4,
Bayad,Bayad SF,Bayad SF,Ranechi-NBM-24-25,4,
Bayad,Gabat SF,Gabat SF,Sarsoli-NBM-24-25,1,
Bayad,Bayad SF,Bayad SF,Madhava Kampa-NBM-24-25,1,
Bayad,Gabat SF,Gabat SF,Amodara-Panchratn-24-25,1,
Bayad,Bayad SF,Bayad SF,Vasanirel-Panchratn-24-25,1,
Bayad,Gabat SF,Gabat SF,Jitpur-Panchratn-24-25,1,
Bayad,Bayad SF,Bayad SF,Ramos-DCP-25-26,,
Bayad,Gabat SF,Gabat SF,Odha-Panchratn-24-25,1,
Bayad,Bayad SF,Bayad SF,Dakhneswar-DCP-SCP-25-26,,
Bayad,Gabat SF,Gabat SF,Odha-G-1-25-26,4,
Bayad,Gabat SF,Gabat SF,Vasadara-G-2-25-26,3,
Bayad,Gabat SF,Gabat SF,Pipodara-E-25-26,1,
Bayad,Gabat SF,Gabat SF,Nava Odha-DCP-SCP-25-26,,
Bayad,Gabat SF,Gabat SF,Odha SHG GROUP- 15X25- 25-26,,
Bayad,Ambaliyara SF,-,,,
Bayad,Bayad SF,-,,,
Bayad,Gabat SF,-,,,
Bayad,Sathamba SF,-,,,
Bayad,Bayad SF,Bibipura SF,,,2026-27
Bayad,Bayad SF,Bayad SF,Range Office Bayad,,
Bayad,Bayad SF,Bayad SF,Forest Colony Bayad,,
Bayad,Gabat SF,Gabat SF,,1,2025-26
Bayad,Bayad SF,Bayad SF,,1,2025-26
Bayad,Ambaliyara SF,Ambaliyara SF,,1,2025-26
Bayad,Gabat SF,Prantwell SF,,1,2025-26
Bayad,Sathamba SF,Sathamba SF,,1,2025-26
Bayad,Bayad SF,Bayad SF,Ram Talav Udhan Bayad,0.5,2025-26
Bayad,Bayad SF,Bibipura SF,Village Level Van Mahotsav Celebration-2025 1,,2025-26
Bayad,Bayad SF,Bayad SF,Village Level Van Mahotsav Celebration-2025 2,,2025-26
Bayad,Ambaliyara SF,Tenpur SF,Village Level Van Mahotsav Celebration-2025 3,,2025-26
Bayad,Ambaliyara SF,Ambaliyara SF,Village Level Van Mahotsav Celebration-2025 4,,2025-26
Bayad,Gabat SF,Prantwell SF,Village Level Van Mahotsav Celebration-2025 5,,2025-26
Bayad,Gabat SF,Gabat SF,Village Level Van Mahotsav Celebration-2025 6,,2025-26
Bayad,Sathamba SF,Amodara,Village Level Van Mahotsav Celebration-2025 7,,2025-26
Bayad,Sathamba SF,Sathamba SF,Village Level Van Mahotsav Celebration-2025 8,,2025-26
Bayad,Ambaliyara SF,Tenpur SF,"Taluka Level Van Mahotsav Celebration-2025
sultanpur",,2025-26
Bayad,Bayad SF,Bibipura SF,Vruksh Rath-2025 1,,2025-26
Bayad,Bayad SF,Bayad SF,Vruksh Rath-2025 2,,2025-26
Bayad,Ambaliyara SF,Tenpur SF,Vruksh Rath-2025 3,,2025-26
Bayad,Ambaliyara SF,Ambaliyara SF,Vruksh Rath-2025 4,,2025-26
Bayad,Gabat SF,Prantwell SF,Vruksh Rath-2025 5,,2025-26
Bayad,Ambaliyara SF,Gabat SF,Vruksh Rath-2025 6,,2025-26
Bayad,Sathamba SF,Amodara,Vruksh Rath-2025 7,,2025-26
Bayad,Sathamba SF,Sathamba SF,Vruksh Rath-2025 8,,2025-26
Bayad,Ambaliyara SF,Tenpur SF,,,2025-26
Bayad,Bayad SF,Bayad SF,Dakhneshvar G1 2026-27,4,2026-27
Bayad,Bayad SF,Bayad SF,Dakhneshvar E 2026-27,2,2026-27
Bayad,Gabat SF,Gabat SF,Odha E-SCP,1,2026-27
Bayad,Gabat SF,Gabat SF,Rdodara G-2 2026-27,3,2026-27
Modasa,Limbhoi SF,Limbhoi SF,Nani Chicano-DCP 10-25-26,,
Modasa,Limbhoi SF,Rakhiyal SF,Khumapur Patiya To Bhacadiya Road -S-25-26,1,
Modasa,Medhasan SF,Medhasan SF,,,
Modasa,Medhasan SF,Sardoi SF,Sardoi SCP-DCP-25-26,,
Modasa,Modasa SF,Modasa SF,Dist.RTOOffice Mod.E 10 24-25,1,
Modasa,Modasa SF,Sakriya SF,,,
Modasa,Shinawad SF,Faredi SF,SaveraPetrol PToRavi Kampa Road -S-25-26,1,
Modasa,Shinawad SF,Shinawad SF,Padardi-DCP-10 25-26,,
Modasa,Tintoi SF,Dadhaliya SF,Bolundra DCP 10 25-26,,
Modasa,Tintoi SF,Tintoi SF,JivanpurToManipuraKampaRo-S-25-26,1,
Modasa,Limbhoi SF,Limbhoi SF,Limbhoi-DCP-SCP 25-26,,
Modasa,Limbhoi SF,Rakhiyal SF,Vantda Picap Stend To Vantda Gam Sudhi Road -S-25-26,1,
Modasa,Medhasan SF,Sardoi SF,Davali SHG-25-26,,
Modasa,Modasa SF,Modasa SF,ACB OfficeMod.-H.G-24-25,0.5,
Modasa,Shinawad SF,Faredi SF,Faredi AFPBP-24-25,2,
Modasa,Shinawad SF,Shinawad SF,Muloj-DCP-10-25-26,,
Modasa,Tintoi SF,Dadhaliya SF,Bolundra DCP SCP 25-26,,
Modasa,Tintoi SF,Tintoi SF,Rajali High Sc. E SCP 25-26,1,
Modasa,Limbhoi SF,Limbhoi SF,Galsundra-DCP-SCP 25-26,,
Modasa,Limbhoi SF,Rakhiyal SF,Khumapur-G2-25-26,8,
Modasa,Medhasan SF,Sardoi SF,Sardoi-G1-25-26,8,
